County,Census,Estimates Base,Today,,,,,
Berrien,"19,286","19,293",19397,,,".Berrien County, Georgia",,,
Bibb,"155,547","155,783",153159,,,".Bibb County, Georgia",,,
Bleckley,"13,063","13,064",12873,,,".Bleckley County, Georgia",,,
Brantley,"18,411","18,428",19109,,,".Brantley County, Georgia",,,
Brooks,"16,243","16,314",15457,,,".Brooks County, Georgia",,,
Bryan,"30,233","30,215",39627,,,".Bryan County, Georgia",,,
Bulloch,"70,217","70,243",79608,,,".Bulloch County, Georgia",,,
Burke,"23,316","23,326",22383,,,".Burke County, Georgia",,,
Butts,"23,655","23,695",24936,,,".Butts County, Georgia",,,
Calhoun,"6,694","6,697",6189,,,".Calhoun County, Georgia",,,
Camden,"50,513","50,512",54666,,,".Camden County, Georgia",,,
Candler,"10,998","10,999",10803,,,".Candler County, Georgia",,,
Carroll,"110,527","110,570",119992,,,".Carroll County, Georgia",,,
Catoosa,"63,942","63,925",67580,,,".Catoosa County, Georgia",,,
Charlton,"12,171","12,171",13392,,,".Charlton County, Georgia",,,
Chatham,"265,128","265,127",289430,,,".Chatham County, Georgia",,,
Chattahoochee,"11,267","11,263",10907,,,".Chattahoochee County, Georgia",,,
Chattooga,"26,015","26,022",24789,,,".Chattooga County, Georgia",,,
Cherokee,"214,346","214,381",258773,,,".Cherokee County, Georgia",,,
Clarke,"116,714","116,688",128331,,,".Clarke County, Georgia",,,
Clay,"3,183","3,186",2834,,,".Clay County, Georgia",,,
Clayton,"259,424","259,630",292256,,,".Clayton County, Georgia",,,
Clinch,"6,798","6,792",6618,,,".Clinch County, Georgia",,,
Cobb,"688,078","688,065",760141,,,".Cobb County, Georgia",,,
Coffee,"42,356","42,347",43273,,,".Coffee County, Georgia",,,
Colquitt,"45,498","45,496",45600,,,".Colquitt County, Georgia",,,
Columbia,"124,053","124,016",156714,,,".Columbia County, Georgia",,,
Cook,"17,212","17,207",17270,,,".Cook County, Georgia",,,
Coweta,"127,317","127,369",148509,,,".Coweta County, Georgia",,,
Crawford,"12,630","12,601",12404,,,".Crawford County, Georgia",,,
Crisp,"23,439","23,433",22372,,,".Crisp County, Georgia",,,
Dade,"16,633","16,643",16116,,,".Dade County, Georgia",,,
Dawson,"22,330","22,382",26108,,,".Dawson County, Georgia",,,
Decatur,"27,842","27,842",26404,,,".Decatur County, Georgia",,,
DeKalb,"691,893","691,961",759297,,,".DeKalb County, Georgia",,,
Dodge,"21,796","21,796",20605,,,".Dodge County, Georgia",,,
Dooly,"14,918","14,925",13390,,,".Dooly County, Georgia",,,
Dougherty,"94,565","94,564",87956,,,".Dougherty County, Georgia",,,
Douglas,"132,403","132,282",146343,,,".Douglas County, Georgia",,,
Early,"11,008","11,008",10190,,,".Early County, Georgia",,,
Echols,"4,034","4,023",4006,,,".Echols County, Georgia",,,
Effingham,"52,250","52,255",64296,,,".Effingham County, Georgia",,,
Elbert,"20,166","20,164",19194,,,".Elbert County, Georgia",,,
Emanuel,"22,598","22,596",22646,,,".Emanuel County, Georgia",,,
Evans,"11,000","11,002",10654,,,".Evans County, Georgia",,,
Fannin,"23,682","23,709",26188,,,".Fannin County, Georgia",,,
Fayette,"106,567","106,560",114421,,,".Fayette County, Georgia",,,
Floyd,"96,317","96,314",98498,,,".Floyd County, Georgia",,,
Forsyth,"175,511","175,484",244252,,,".Forsyth County, Georgia",,,
Franklin,"22,084","22,093",23349,,,".Franklin County, Georgia",,,
Fulton,"920,581","920,445",1063937,,,".Fulton County, Georgia",,,
Gilmer,"28,292","28,294",31369,,,".Gilmer County, Georgia",,,
Glascock,"3,082","3,086",2971,,,".Glascock County, Georgia",,,
Glynn,"79,626","79,627",85292,,,".Glynn County, Georgia",,,
Gordon,"55,186","55,221",57963,,,".Gordon County, Georgia",,,
Grady,"25,011","25,013",24633,,,".Grady County, Georgia",,,
Greene,"15,994","15,996",18324,,,".Greene County, Georgia",,,
Gwinnett,"805,321","805,286",936250,,,".Gwinnett County, Georgia",,,
Habersham,"43,041","43,032",45328,,,".Habersham County, Georgia",,,
Hall,"179,684","179,724",204441,,,".Hall County, Georgia",,,
Hancock,"9,429","9,401",8457,,,".Hancock County, Georgia",,,
Haralson,"28,780","28,775",29792,,,".Haralson County, Georgia",,,
Harris,"32,024","31,994",35236,,,".Harris County, Georgia",,,
Hart,"25,213","25,210",26205,,,".Hart County, Georgia",,,
Heard,"11,834","11,829",11923,,,".Heard County, Georgia",,,
Henry,"203,922","203,777",234561,,,".Henry County, Georgia",,,
Houston,"139,900","139,819",157863,,,".Houston County, Georgia",,,
Irwin,"9,538","9,513",9416,,,".Irwin County, Georgia",,,
Jackson,"60,485","60,461",72977,,,".Jackson County, Georgia",,,
Jasper,"13,900","13,894",14219,,,".Jasper County, Georgia",,,
Jeff Davis,"15,068","15,074",15115,,,".Jeff Davis County, Georgia",,,
Jefferson,"16,930","16,916",15362,,,".Jefferson County, Georgia",,,
Jenkins,"8,340","8,333",8676,,,".Jenkins County, Georgia",,,
Johnson,"9,980","9,974",9643,,,".Johnson County, Georgia",,,
Jones,"28,669","28,668",28735,,,".Jones County, Georgia",,,
Lamar,"18,317","18,311",19077,,,".Lamar County, Georgia",,,
Lanier,"10,078","10,077",10423,,,".Lanier County, Georgia",,,
Laurens,"48,434","48,435",47546,,,".Laurens County, Georgia",,,
Lee,"28,298","28,295",29992,,,".Lee County, Georgia",,,
Liberty,"63,453","63,585",61435,,,".Liberty County, Georgia",,,
Lincoln,"7,996","7,996",7921,,,".Lincoln County, Georgia",,,
Long,"14,464","14,344",19559,,,".Long County, Georgia",,,
Lowndes,"109,233","109,248",117406,,,".Lowndes County, Georgia",,,
Lumpkin,"29,966","29,953",33610,,,".Lumpkin County, Georgia",,,
McDuffie,"21,875","21,867",21312,,,".McDuffie County, Georgia",,,
McIntosh,"14,333","14,330",14378,,,".McIntosh County, Georgia",,,
Macon,"14,740","14,743",12947,,,".Macon County, Georgia",,,
Madison,"28,120","28,167",29880,,,".Madison County, Georgia",,,
Marion,"8,742","8,738",8359,,,".Marion County, Georgia",,,
Meriwether,"21,992","21,978",21167,,,".Meriwether County, Georgia",,,
Miller,"6,125","6,127",5718,,,".Miller County, Georgia",,,
Mitchell,"23,498","23,501",21863,,,".Mitchell County, Georgia",,,
Monroe,"26,424","26,167",27578,,,".Monroe County, Georgia",,,
Montgomery,"9,123","9,181",9172,,,".Montgomery County, Georgia",,,
Morgan,"17,868","17,871",19276,,,".Morgan County, Georgia",,,
Murray,"39,628","39,628",40096,,,".Murray County, Georgia",,,
Muscogee,"189,885","190,570",195769,,,".Muscogee County, Georgia",,,
Newton,"99,958","99,967",111744,,,".Newton County, Georgia",,,
Oconee,"32,808","32,831",40280,,,".Oconee County, Georgia",,,
Oglethorpe,"14,899","14,881",15259,,,".Oglethorpe County, Georgia",,,
Paulding,"142,324","142,397",168667,,,".Paulding County, Georgia",,,
Peach,"27,695","27,807",27546,,,".Peach County, Georgia",,,
Pickens,"29,431","29,404",32591,,,".Pickens County, Georgia",,,
Pierce,"18,758","18,760",19465,,,".Pierce County, Georgia",,,
Pike,"17,869","17,873",18962,,,".Pike County, Georgia",,,
Polk,"41,475","41,495",42613,,,".Polk County, Georgia",,,
Pulaski,"12,010","11,999",11137,,,".Pulaski County, Georgia",,,
Putnam,"21,218","21,218",22119,,,".Putnam County, Georgia",,,
Quitman,"2,513","2,510",2299,,,".Quitman County, Georgia",,,
Rabun,"16,276","16,273",17137,,,".Rabun County, Georgia",,,
Randolph,"7,719","7,721",6778,,,".Randolph County, Georgia",,,
Richmond,"200,549","200,594",202518,,,".Richmond County, Georgia",,,
Rockdale,"85,215","85,169",90896,,,".Rockdale County, Georgia",,,
Schley,"5,010","5,013",5257,,,".Schley County, Georgia",,,
Screven,"14,593","14,594",13966,,,".Screven County, Georgia",,,
Seminole,"8,729","8,729",8090,,,".Seminole County, Georgia",,,
Spalding,"64,073","64,109",66703,,,".Spalding County, Georgia",,,
Stephens,"26,175","26,153",25925,,,".Stephens County, Georgia",,,
Stewart,"6,058","6,060",6621,,,".Stewart County, Georgia",,,
Sumter,"32,819","32,815",29524,,,".Sumter County, Georgia",,,
Talbot,"6,865","6,890",6195,,,".Talbot County, Georgia",,,
Taliaferro,"1,717","1,717",1537,,,".Taliaferro County, Georgia",,,
Tattnall,"25,520","25,510",25286,,,".Tattnall County, Georgia",,,
Taylor,"8,906","8,909",8020,,,".Taylor County, Georgia",,,
Telfair,"16,500","16,490",15860,,,".Telfair County, Georgia",,,
Terrell,"9,315","9,507",8531,,,".Terrell County, Georgia",,,
Thomas,"44,720","44,723",44451,,,".Thomas County, Georgia",,,
Tift,"40,118","40,136",40644,,,".Tift County, Georgia",,,
Toombs,"27,223","27,170",26830,,,".Toombs County, Georgia",,,
Towns,"10,471","10,477",12037,,,".Towns County, Georgia",,,
Treutlen,"6,885","6,883",6901,,,".Treutlen County, Georgia",,,
Troup,"67,044","67,040",69922,,,".Troup County, Georgia",,,
Turner,"8,930","8,933",7985,,,".Turner County, Georgia",,,
Twiggs,"9,023","9,026",8120,,,".Twiggs County, Georgia",,,
Union,"21,356","21,358",24511,,,".Union County, Georgia",,,
Upson,"27,153","27,149",26320,,,".Upson County, Georgia",,,
Walker,"68,756","68,738",69761,,,".Walker County, Georgia",,,
Walton,"83,768","83,806",94593,,,".Walton County, Georgia",,,
Ware,"36,312","36,298",35734,,,".Ware County, Georgia",,,
Warren,"5,834","5,834",5254,,,".Warren County, Georgia",,,
Washington,"21,187","21,182",20374,,,".Washington County, Georgia",,,
Wayne,"30,099","30,097",29927,,,".Wayne County, Georgia",,,
Webster,"2,799","2,799",2607,,,".Webster County, Georgia",,,
Wheeler,"7,421","7,431",7855,,,".Wheeler County, Georgia",,,
White,"27,144","27,139",30798,,,".White County, Georgia",,,
Whitfield,"102,599","102,605",104628,,,".Whitfield County, Georgia",,,
Wilcox,"9,255","9,256",8635,,,".Wilcox County, Georgia",,,
Wilkes,"10,593","10,593",9777,,,".Wilkes County, Georgia",,,
Wilkinson,"9,563","9,570",8954,,,".Wilkinson County, Georgia",,,
Worth,"21,679","21,667",20247,,,".Worth County, Georgia",,,
Hawaii,"185,079","185,076",201513,,,".Hawaii County, Hawaii",,,
Honolulu,"953,207","953,206",974563,,,".Honolulu County, Hawaii",,,
Kalawao,90,90,86,,,".Kalawao County, Hawaii",,,
Kauai,"67,091","67,095",72293,,,".Kauai County, Hawaii",,,
Maui,"154,834","154,840",167417,,,".Maui County, Hawaii",,,
Ada,"392,365","392,372",481587,,,".Ada County, Idaho",,,
Adams,"3,976","3,978",4294,,,".Adams County, Idaho",,,
Bannock,"82,839","82,842",87808,,,".Bannock County, Idaho",,,
Bear Lake,"5,986","5,986",6125,,,".Bear Lake County, Idaho",,,
Benewah,"9,285","9,283",9298,,,".Benewah County, Idaho",,,
Bingham,"45,607","45,605",46811,,,".Bingham County, Idaho",,,
Blaine,"21,376","21,377",23021,,,".Blaine County, Idaho",,,
Boise,"7,028","7,027",7831,,,".Boise County, Idaho",,,
Bonner,"40,877","40,877",45739,,,".Bonner County, Idaho",,,
Bonneville,"104,234","104,294",119062,,,".Bonneville County, Idaho",,,
Boundary,"10,972","10,972",12245,,,".Boundary County, Idaho",,,
Butte,"2,891","2,893",2597,,,".Butte County, Idaho",,,
Camas,"1,117","1,117",1106,,,".Camas County, Idaho",,,
Canyon,"188,923","188,922",229849,,,".Canyon County, Idaho",,,
Caribou,"6,963","6,963",7155,,,".Caribou County, Idaho",,,
Cassia,"22,952","22,964",24030,,,".Cassia County, Idaho",,,
Clark,982,982,845,,,".Clark County, Idaho",,,
Clearwater,"8,761","8,761",8756,,,".Clearwater County, Idaho",,,
Custer,"4,368","4,366",4315,,,".Custer County, Idaho",,,
Elmore,"27,038","27,040",27511,,,".Elmore County, Idaho",,,
Franklin,"12,786","12,786",13876,,,".Franklin County, Idaho",,,
Fremont,"13,242","13,237",13099,,,".Fremont County, Idaho",,,
Gem,"16,719","16,719",18112,,,".Gem County, Idaho",,,
Gooding,"15,464","15,472",15179,,,".Gooding County, Idaho",,,
Idaho,"16,267","16,267",16667,,,".Idaho County, Idaho",,,
Jefferson,"26,140","26,144",29871,,,".Jefferson County, Idaho",,,
Jerome,"22,374","22,355",24412,,,".Jerome County, Idaho",,,
Kootenai,"138,494","138,466",165697,,,".Kootenai County, Idaho",,,
Latah,"37,244","37,243",40108,,,".Latah County, Idaho",,,
Lemhi,"7,936","7,936",8027,,,".Lemhi County, Idaho",,,
Lewis,"3,821","3,821",3838,,,".Lewis County, Idaho",,,
Lincoln,"5,208","5,206",5366,,,".Lincoln County, Idaho",,,
Madison,"37,536","37,548",39907,,,".Madison County, Idaho",,,
Minidoka,"20,069","20,055",21039,,,".Minidoka County, Idaho",,,
Nez Perce,"39,265","39,270",40408,,,".Nez Perce County, Idaho",,,
Oneida,"4,286","4,286",4531,,,".Oneida County, Idaho",,,
Owyhee,"11,526","11,526",11823,,,".Owyhee County, Idaho",,,
Payette,"22,623","22,622",23951,,,".Payette County, Idaho",,,
Power,"7,817","7,819",7681,,,".Power County, Idaho",,,
Shoshone,"12,765","12,800",12882,,,".Shoshone County, Idaho",,,
Teton,"10,170","10,165",12142,,,".Teton County, Idaho",,,
Twin Falls,"77,230","77,241",86878,,,".Twin Falls County, Idaho",,,
Valley,"9,862","9,854",11392,,,".Valley County, Idaho",,,
Washington,"10,198","10,198",10194,,,".Washington County, Idaho",,,
Adams,"67,103","67,097",65435,,,".Adams County, Illinois",,,
Alexander,"8,238","8,238",5761,,,".Alexander County, Illinois",,,
Bond,"17,768","17,768",16426,,,".Bond County, Illinois",,,
Boone,"54,165","54,167",53544,,,".Boone County, Illinois",,,
Brown,"6,937","6,937",6578,,,".Brown County, Illinois",,,
Bureau,"34,978","34,980",32628,,,".Bureau County, Illinois",,,
Calhoun,"5,089","5,089",4739,,,".Calhoun County, Illinois",,,
Carroll,"15,387","15,394",14305,,,".Carroll County, Illinois",,,
Cass,"13,642","13,641",12147,,,".Cass County, Illinois",,,
Champaign,"201,081","201,081",209689,,,".Champaign County, Illinois",,,
Christian,"34,800","34,795",32304,,,".Christian County, Illinois",,,
Clark,"16,335","16,335",15441,,,".Clark County, Illinois",,,
Clay,"13,815","13,815",13184,,,".Clay County, Illinois",,,
Clinton,"37,762","37,762",37562,,,".Clinton County, Illinois",,,
Coles,"53,873","53,876",50621,,,".Coles County, Illinois",,,
Cook,"5,194,675","5,195,026",5150233,,,".Cook County, Illinois",,,
Crawford,"19,817","19,818",18667,,,".Crawford County, Illinois",,,
Cumberland,"11,048","11,045",10766,,,".Cumberland County, Illinois",,,
DeKalb,"105,160","105,162",104897,,,".DeKalb County, Illinois",,,
De Witt,"16,561","16,558",15638,,,".De Witt County, Illinois",,,
Douglas,"19,980","19,977",19465,,,".Douglas County, Illinois",,,
DuPage,"916,924","916,741",922921,,,".DuPage County, Illinois",,,
Edgar,"18,576","18,576",17161,,,".Edgar County, Illinois",,,
Edwards,"6,721","6,721",6395,,,".Edwards County, Illinois",,,
Effingham,"34,242","34,246",34008,,,".Effingham County, Illinois",,,
Fayette,"22,140","22,142",21336,,,".Fayette County, Illinois",,,
Ford,"14,081","14,081",12961,,,".Ford County, Illinois",,,
Franklin,"39,561","39,996",38469,,,".Franklin County, Illinois",,,
Fulton,"37,069","37,071",34340,,,".Fulton County, Illinois",,,
Gallatin,"5,589","5,587",4828,,,".Gallatin County, Illinois",,,
Greene,"13,886","13,886",12969,,,".Greene County, Illinois",,,
Grundy,"50,063","50,079",51054,,,".Grundy County, Illinois",,,
Hamilton,"8,457","8,457",8116,,,".Hamilton County, Illinois",,,
Hancock,"19,104","19,104",17708,,,".Hancock County, Illinois",,,
Hardin,"4,320","4,323",3821,,,".Hardin County, Illinois",,,
Henderson,"7,331","7,328",6646,,,".Henderson County, Illinois",,,
Henry,"50,486","50,483",48913,,,".Henry County, Illinois",,,
Iroquois,"29,718","29,719",27114,,,".Iroquois County, Illinois",,,
Jackson,"60,218","60,206",56750,,,".Jackson County, Illinois",,,
Jasper,"9,698","9,701",9610,,,".Jasper County, Illinois",,,
Jefferson,"38,827","38,825",37684,,,".Jefferson County, Illinois",,,
Jersey,"22,985","23,010",21773,,,".Jersey County, Illinois",,,
Jo Daviess,"22,678","22,681",21235,,,".Jo Daviess County, Illinois",,,
Johnson,"12,582","12,577",12417,,,".Johnson County, Illinois",,,
Kane,"515,269","515,322",532403,,,".Kane County, Illinois",,,
Kankakee,"113,449","113,450",109862,,,".Kankakee County, Illinois",,,
Kendall,"114,736","114,804",128990,,,".Kendall County, Illinois",,,
Knox,"52,919","52,926",49699,,,".Knox County, Illinois",,,
Lake,"703,462","703,400",696535,,,".Lake County, Illinois",,,
LaSalle,"113,924","113,920",108669,,,".LaSalle County, Illinois",,,
Lawrence,"16,833","16,903",15678,,,".Lawrence County, Illinois",,,
Lee,"36,031","36,038",34096,,,".Lee County, Illinois",,,
Livingston,"38,950","38,945",35648,,,".Livingston County, Illinois",,,
Logan,"30,305","30,305",28618,,,".Logan County, Illinois",,,
McDonough,"32,612","32,616",29682,,,".McDonough County, Illinois",,,
McHenry,"308,760","308,882",307774,,,".McHenry County, Illinois",,,
McLean,"169,572","169,577",171517,,,".McLean County, Illinois",,,
Macon,"110,768","110,777",104009,,,".Macon County, Illinois",,,
Macoupin,"47,765","47,763",44926,,,".Macoupin County, Illinois",,,
Madison,"269,282","269,298",262966,,,".Madison County, Illinois",,,
Marion,"39,437","39,437",37205,,,".Marion County, Illinois",,,
Marshall,"12,640","12,646",11438,,,".Marshall County, Illinois",,,
Mason,"14,666","14,666",13359,,,".Mason County, Illinois",,,
Massac,"15,429","15,431",13772,,,".Massac County, Illinois",,,
Menard,"12,705","12,705",12196,,,".Menard County, Illinois",,,
Mercer,"16,434","16,434",15437,,,".Mercer County, Illinois",,,
Monroe,"32,957","32,949",34637,,,".Monroe County, Illinois",,,
Montgomery,"30,104","30,105",28414,,,".Montgomery County, Illinois",,,
Morgan,"35,547","35,545",33658,,,".Morgan County, Illinois",,,
Moultrie,"14,846","14,852",14501,,,".Moultrie County, Illinois",,,
Ogle,"53,497","53,490",50643,,,".Ogle County, Illinois",,,
Peoria,"186,494","186,496",179179,,,".Peoria County, Illinois",,,
Perry,"22,350","22,346",20916,,,".Perry County, Illinois",,,
Piatt,"16,729","16,725",16344,,,".Piatt County, Illinois",,,
Pike,"16,430","16,430",15561,,,".Pike County, Illinois",,,
Pope,"4,470","4,474",4177,,,".Pope County, Illinois",,,
Pulaski,"6,161","6,161",5335,,,".Pulaski County, Illinois",,,
Putnam,"6,006","6,006",5739,,,".Putnam County, Illinois",,,
Randolph,"33,476","33,480",31782,,,".Randolph County, Illinois",,,
Richland,"16,233","16,233",15513,,,".Richland County, Illinois",,,
Rock Island,"147,546","147,541",141879,,,".Rock Island County, Illinois",,,
St. Clair,"270,056","270,078",259686,,,".St. Clair County, Illinois",,,
