County,Census,Estimates Base,Today,,,,,
Baker,"27,115","27,115",29210,,,".Baker County, Florida",,,
Bay,"168,852","168,850",174705,,,".Bay County, Florida",,,
Bradford,"28,520","28,519",28201,,,".Bradford County, Florida",,,
Brevard,"543,376","543,372",601942,,,".Brevard County, Florida",,,
Broward,"1,748,066","1,748,146",1952778,,,".Broward County, Florida",,,
Calhoun,"14,625","14,627",14105,,,".Calhoun County, Florida",,,
Charlotte,"159,978","159,967",188910,,,".Charlotte County, Florida",,,
Citrus,"141,236","141,230",149657,,,".Citrus County, Florida",,,
Clay,"190,865","190,878",219252,,,".Clay County, Florida",,,
Collier,"321,520","321,522",384902,,,".Collier County, Florida",,,
Columbia,"67,531","67,526",71686,,,".Columbia County, Florida",,,
DeSoto,"34,862","34,862",38001,,,".DeSoto County, Florida",,,
Dixie,"16,422","16,422",16826,,,".Dixie County, Florida",,,
Duval,"864,263","864,253",957755,,,".Duval County, Florida",,,
Escambia,"297,619","297,620",318316,,,".Escambia County, Florida",,,
Flagler,"95,696","95,692",115081,,,".Flagler County, Florida",,,
Franklin,"11,549","11,549",12125,,,".Franklin County, Florida",,,
Gadsden,"46,389","47,744",45660,,,".Gadsden County, Florida",,,
Gilchrist,"16,939","16,941",18582,,,".Gilchrist County, Florida",,,
Glades,"12,884","12,881",13811,,,".Glades County, Florida",,,
Gulf,"15,863","15,863",13639,,,".Gulf County, Florida",,,
Hamilton,"14,799","14,799",14428,,,".Hamilton County, Florida",,,
Hardee,"27,731","27,737",26937,,,".Hardee County, Florida",,,
Hendry,"39,140","39,143",42022,,,".Hendry County, Florida",,,
Hernando,"172,778","172,778",193920,,,".Hernando County, Florida",,,
Highlands,"98,786","98,784",106221,,,".Highlands County, Florida",,,
Hillsborough,"1,229,226","1,229,202",1471968,,,".Hillsborough County, Florida",,,
Holmes,"19,927","19,923",19617,,,".Holmes County, Florida",,,
Indian River,"138,028","138,028",159923,,,".Indian River County, Florida",,,
Jackson,"49,746","49,764",46414,,,".Jackson County, Florida",,,
Jefferson,"14,761","14,761",14246,,,".Jefferson County, Florida",,,
Lafayette,"8,870","8,868",8422,,,".Lafayette County, Florida",,,
Lake,"297,052","297,047",367118,,,".Lake County, Florida",,,
Lee,"618,754","618,755",770577,,,".Lee County, Florida",,,
Leon,"275,487","275,483",293582,,,".Leon County, Florida",,,
Levy,"40,801","40,798",41503,,,".Levy County, Florida",,,
Liberty,"8,365","8,365",8354,,,".Liberty County, Florida",,,
Madison,"19,224","19,226",18493,,,".Madison County, Florida",,,
Manatee,"322,833","322,879",403253,,,".Manatee County, Florida",,,
Marion,"331,298","331,299",365579,,,".Marion County, Florida",,,
Martin,"146,318","146,852",161000,,,".Martin County, Florida",,,
Miami-Dade,"2,496,435","2,497,993",2716940,,,".Miami-Dade County, Florida",,,
Monroe,"73,090","73,090",74228,,,".Monroe County, Florida",,,
Nassau,"73,314","73,310",88625,,,".Nassau County, Florida",,,
Okaloosa,"180,822","180,824",210738,,,".Okaloosa County, Florida",,,
Okeechobee,"39,996","39,996",42168,,,".Okeechobee County, Florida",,,
Orange,"1,145,956","1,145,957",1393452,,,".Orange County, Florida",,,
Osceola,"268,685","268,685",375751,,,".Osceola County, Florida",,,
Palm Beach,"1,320,134","1,320,135",1496770,,,".Palm Beach County, Florida",,,
Pasco,"464,697","464,705",553947,,,".Pasco County, Florida",,,
Pinellas,"916,542","916,800",974996,,,".Pinellas County, Florida",,,
Polk,"602,095","602,073",724777,,,".Polk County, Florida",,,
Putnam,"74,364","74,377",74521,,,".Putnam County, Florida",,,
St. Johns,"190,039","190,038",264672,,,".St. Johns County, Florida",,,
St. Lucie,"277,789","277,255",328297,,,".St. Lucie County, Florida",,,
Santa Rosa,"151,372","151,371",184313,,,".Santa Rosa County, Florida",,,
Sarasota,"379,448","379,433",433742,,,".Sarasota County, Florida",,,
